Metric,Happy,Sad,Angry,Fearful,Disgust,Surprised,Neutral,Mixed
Precision,91.2,87.8,88.6,85.4,83.5,89.0,92.6,81.7
Recall,89.5,86.0,87.7,84.2,81.9,87.2,91.0,79.5
F1 Score,90.3,86.9,88.1,84.8,82.7,88.1,91.8,80.6
